Incident_ID,Date,Region,Team,Incident_Type,Severity,Status,Response_Time_Hours,Resolution_Time_Hours,Lesson_or_Action
INC-00570,2026-06-23,South West,Facilities Response,Process failure,Low,Closed,0.6,3.1,Documentation updated
INC-00571,2026-03-19,Midlands,Workplace Projects,Health & safety issue,Low,Closed,6.2,42.9,Supplier action
INC-00572,2026-03-12,Scotland,Workplace Services,Health & safety issue,Medium,Open,5.4,23.7,
INC-00573,2026-04-14,South East,Workplace Services,Process failure,Medium,Open,1.6,32.5,
INC-00574,2026-02-11,Midlands,Facilities Response,Building issue,Low,Closed,1.6,9.8,Documentation updated
INC-00575,2026-02-17,South East,Workplace Projects,Staffing shortage,High,Open,6.2,43.6,
INC-00576,2026-03-02,North West,Workplace Services,Data quality issue,Low,Closed,2.2,29.6,Supplier action
INC-00577,2026-01-15,South East,Estates Support,Staffing shortage,Low,In Progress,1.6,20.4,
INC-00578,2026-04-06,Midlands,Workplace Projects,System outage,Low,In Progress,13.4,19.2,
INC-00579,2026-03-19,North West,Facilities Response,Customer escalation,Low,In Progress,0.5,2.1,
INC-00580,2026-06-02,Scotland,Workplace Projects,Supplier delay,Low,Closed,2.5,28.1,Documentation updated
INC-00581,2026-03-25,North West,Workplace Services,Building issue,High,Closed,9.7,26.3,Process updated
INC-00582,2026-03-21,North East,Facilities Response,Customer escalation,High,Closed,12.5,23.9,Process updated
INC-00583,2026-03-10,North East,Workplace Projects,System outage,Low,In Progress,1.1,7.9,
INC-00584,2026-03-07,Scotland,Workplace Projects,Process failure,Medium,Closed,1.4,3.7,Process updated
INC-00585,2026-01-18,South East,Estates Support,Health & safety issue,Low,Open,2.9,8.3,
INC-00586,2026-06-20,South East,Workplace Services,System outage,Medium,Open,13.0,15.1,
INC-00587,2026-02-03,Scotland,Facilities Response,System outage,Low,In Progress,0.6,8.2,
INC-00588,2026-04-23,Midlands,Estates Support,System outage,High,Closed,17.9,18.2,Training required
INC-00589,2026-04-08,Midlands,Estates Support,Supplier delay,High,Closed,7.9,17.9,Training required
INC-00590,2026-03-09,Wales,Workplace Projects,Building issue,High,In Progress,7.4,67.3,
INC-00591,2026-06-24,North West,Estates Support,Process failure,Low,Open,6.5,6.5,
INC-00592,2026-03-06,Wales,Workplace Services,Customer escalation,Low,Closed,2.3,3.1,No further action
INC-00593,2026-04-09,North West,Workplace Services,Data quality issue,High,In Progress,12.2,35.8,
INC-00594,2026-01-31,North West,Facilities Response,System outage,Low,Closed,6.9,38.1,Supplier action
INC-00595,2026-02-25,North West,Workplace Services,Staffing shortage,Low,Closed,1.1,22.8,Documentation updated
INC-00596,2026-06-14,North East,Workplace Services,Building issue,Low,Open,2.4,10.7,
INC-00597,2026-01-26,Midlands,Workplace Services,Health & safety issue,High,Closed,1.0,50.7,No further action
INC-00598,2026-06-30,North West,Estates Support,Building issue,High,Open,12.8,30.8,
INC-00599,2026-04-06,South West,Facilities Response,System outage,Low,In Progress,6.5,19.9,
INC-00600,2026-04-15,South West,Facilities Response,Supplier delay,Low,Closed,2.0,8.7,Training required
